OBJECTID,ORIGKEY,PMISYR,ROUTE_ID,FROM_MEASURE,TO_MEASURE,SYSTEM,ROUTE,DIR,BPOST,EPOST,PAVTYP,DESCRIPT,CONYR,RESYR,PMIS_LENGTH,LANE_MILES,MDIST,COUNTY,CITY,CITY 2,PCI_2,PCI_2DEF,RUT_INDX,IRI_INDX,FAULT_INDX,CRACK_INDX,IRI,FRICT,FRIDATE,FAULT,FAULTAV,RUT,CRACK_RATIO,T_INDX,L_INDX,LW_INDX,LLW_INDX,A_INDX,ACRACKH,ACRACKM,ACRACKL,TCRACKH,TCRACKM,TCRACKL,LCRACKH,LCRACKM,LCRACKL,LCRACKWH,LCRACKWM,LCRACKWL,DCRACKH,DCRACKM,DCRACKL,JTSPALLH,JTSPALLM,JTSPALL_LONG,JTSPALL_TRANS,PATCHAB,PATCHAG,PATCHES,COVERAGE,CAPDAT,STRUC80,STRUCT_NEED80,STRUCAV,STRUCJTR,AVEK,FWD_DATE,TRYR,AADT,TRUCKS,NHS,SYS_NHS,URBAN,PCLASS,FCLASS,MEDIAN,MEDIAN_PCT,LANES,SPEED,SURFACE_TYPE,PAVTHICK,TACCDPTH,TPCCDPTH,BASEDPTH,MLEVEL,WIDTH,WDRIVELN,RCURB,LCURB,ISHLDTIE,ISHLDTYP,ISHLDWID,OSHLDTIE,OSHLDTYP,OSHLDWID,COMPLEX,SUBDRAIN,SUBDPCT,SUBDMULT,TREATMENT,LAYR1,LAYR2,LAYR3,LAYR4,LAYR5,LAYR6,LAYR7,LAYR8,PROJECT1,PROJECT2,PROJECT3,PROJECT4,PROJECT5,PROJECT6,PROJECT7,PROJECT8,PROJTYP1,PROJTYP2,PROJTYP3,PROJTYP4,PROJTYP5,PROJTYP6,PROJTYP7,PROJTYP8,SURTYP1,SURTYP2,SURTYP3,SURTYP4,SURTYP5,SURTYP6,SURTYP7,SURTYP8,SURTHK1,SURTHK2,SURTHK3,SURTHK4,SURTHK5,SURTHK6,SURTHK7,SURTHK8,BASTYP1,BASTYP2,BASTYP3,BASTYP4,BASTYP5,BASTYP6,BASTYP7,BASTYP8,AGGCLAS1,AGGCLAS2,AGGCLAS3,AGGCLAS4,AGGCLAS5,AGGCLAS6,AGGCLAS7,AGGCLAS8,BASTHK1,BASTHK2,BASTHK3,BASTHK4,BASTHK5,BASTHK6,BASTHK7,BASTHK8,SUBTHK1,SUBTHK2,SUBTHK3,SUBTHK4,SUBTHK5,SUBTHK6,SUBTHK7,SUBTHK8,RMVTHK1,RMVTHK2,RMVTHK3,RMVTHK4,RMVTHK5,RMVTHK6,RMVTHK7,RMVTHK8,AGGSRC1,AGGSRC2,AGGSRC3,AGGSRC4,AGGSRC5,AGGSRC6,AGGSRC7,AGGSRC8,REMARKS1,REMARKS2,REMARKS3,REMARKS4,REMARKS5,REMARKS6,REMARKS7,REMARKS8,RMVTYP1,RMVTYP2,RMVTYP3,RMVTYP4,RMVTYP5,RMVTYP6,RMVTYP7,RMVTYP8,AGGTYP1,AGGTYP2,AGGTYP3,AGGTYP4,AGGTYP5,AGGTYP6,AGGTYP7,AGGTYP8,SUBTYP1,SUBTYP2,SUBTYP3,SUBTYP4,SUBTYP5,SUBTYP6,SUBTYP7,SUBTYP8,REST_UPDATED,REST_UTC_OFFSET,GLOBALID,PATCH_PCT,CONRTE,FAILURE_AREA,FAILURE_AREA_MI,FAILURE_CNT,FAILURE_CNT_MI,PATHWEB,STRUC_C_PCT,UNSEALCRK,Shape__Length
141,00231190 62191 4926,2023,S001930002E,186.12885,186.95528,3,2,1,190 62,191 49,4,From 0.8 Mi W of W JCT IA 2/US 63 East to W JCT IA 2/US 63,1999,,0.83,1.69,5,26,,0,66,,61,58,,76,125.82,59,2022/06/29 00:00:00+00,,0,0.18,23.91,11,87,8,,100,0,0,257,0,28,387,0,12,330,0,59,2331,0,0,0,0,0,0,0,372,0,1,100,2023/06/22 00:00:00+00,6.38,0,7.62,,120,2019/06/05 00:00:00+00,2023,1800,348,Y,NHS,,3,3,N,0,2,55,65,7.5,8,0,8,B,26,,N,N,N,G,9,N,G,9,N,NHS-63-1(42)--19-26,24,Y,AC,1999,,,,,,,,NHS-63-1(42)--19-26,,,,,,,,,,,,,,,,AAC,,,,,,,,1.5,,,,,,,,BAC,,,,,,,,,,,,,,,,6,,,,,,,,8,,,,,,,,0,,,,,,,,LEWIS,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,GSB,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,2a6138ee-671d-45c0-88d1-07b31d9b8d90,0,,1778,2154.2,128,155.1,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=186.13001,13,96,1753.865105
142,00231196 44200 0326,2023,S001930002E,191.8147,195.38369,3,2,1,196 44,200 03,3,From E JCT IA 2/US 63 East 3.59 Miles,1977,2010,3.57,7.14,5,26,702,702,72,,80,68,,73,101.73,52,2021/08/09 00:00:00+00,,0,0.09,27.36,26,42,32,,100,0,0,0,0,161,355,0,741,432,0,116,1619,0,0,0,0,0,0,0,0,0,0,100,2023/07/06 00:00:00+00,3.97,0,5.14,,167,2022/05/16 00:00:00+00,2023,1987,262,N,Non-NHS,,3,4,N,0,2,55,65,14.5,7,8,0,C,24,,N,N,N,PG,8,N,PG,8,N,FN-2-8(23)21-26,100,,MS,2010,1993,1977,,,,,,STPN-002-8(34)--2J-26,STPN-2-8(24)--2J-26,FN-2-8(11)--21-26,,,,,,,,,,,,,,HMA,AAC,PCC,,,,,,2,5,8,,,,,,,,,,,,,,,2,,,,,,,0,0,0,,,,,,0,0,0,,,,,,0.5,0,0,,,,,,,DOUDS MINE,DOUDS MINE,,,,,,,,,,,,,,SCR,,,,,,,,,C.LST.,C.LST.,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,f5684577-e97b-440f-9fa4-a5472221910f,0,,61,17.1,7,2,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=191.814,10,100,7581.026247
143,00231200 03201 0326,2023,S001930002E,195.38369,196.38158,3,2,1,200 03,201 03,3,From 3.59 Mi E Of E JCT IA 2/US 63 East 1.00 Mile,1977,2010,1,2,5,26,,0,74,,77,65,,81,108.33,58,2021/08/09 00:00:00+00,,0,0.11,18.85,32,93,77,,100,0,0,0,0,152,322,0,56,102,0,0,615,0,0,0,0,0,0,0,0,0,0,100,2023/07/06 00:00:00+00,3.9,0,5.1,,165,2019/06/05 00:00:00+00,2023,1540,262,N,Non-NHS,,3,4,N,0,2,55,65,14,6,8,0,C,24,,N,N,N,PG,8,N,PG,8,N,FN-2-8(23)21-26,100,,MS,2010,1990,1977,,,,,,STPN-002-8(34)--2J-26,FN-2-8(23)--21-26,FN-2-8(11)--21-26,,,,,,,,,,,,,,HMA,AAC,PCC,,,,,,2,4.5,8,,,,,,,,,,,,,,,2,,,,,,,0,0,0,,,,,,0,0,0,,,,,,0.5,0,0,,,,,,,DOUDS MINE,DOUDS MINE,,,,,,,,,,,,,,SCR,,,,,,,,,C.LST.,C.LST.,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,761c7e26-2c90-44c7-977d-584c46aaed89,0,,0,0,0,0,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=195.38129,4,100,2117.799151
144,00231201 03203 9726,2023,S001930002E,196.38158,199.32438,3,2,1,201 03,203 97,3,4.59 Mi E Of IA 2/US 63 East To 0.88 Mi W Of WCL Pulaski,1977,2010,2.94,5.89,5,26,,0,76,,78,67,,84,105.7,58,2021/08/09 00:00:00+00,,0,0.1,16.03,40,92,79,,100,0,0,0,0,120,303,0,38,159,0,10,539,0,0,0,0,0,0,0,0,0,0,100,2023/07/06 00:00:00+00,4.4,0,5.77,,146,2019/06/05 00:00:00+00,2023,1540,262,N,Non-NHS,,3,4,N,0,2,55,65,14.5,7,8,0,C,24,,N,N,N,PG,8,N,PG,8,N,FN-2-8(23)21-26,100,,MS,2010,1993,1977,,,,,,STPN-002-8(34)--2J-26,STPN-2-8(24)--2J-26,FN-2-8(11)--21-26,,,,,,,,,,,,,,HMA,AAC,PCC,,,,,,2,5,8,,,,,,,,,,,,,,,2,,,,,,,0,0,0,,,,,,0,0,0,,,,,,0.5,0,0,,,,,,,DOUDS MINE,DOUDS MINE,,,,,,,,,,,,,,SCR,,,,,,,,,C.LST.,C.LST.,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,30ae9bfc-d491-40e7-8119-82d10c68d3c8,0,,0,0,0,0,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=196.37729,3,100,6241.802472
145,00231203 97204 7926,2023,S001930002E,199.32438,200.13897,3,2,1,203 97,204 79,3,From 0.88 Mi W Of WCL Pulaski East To WCL Pulaski,1977,2010,0.81,1.63,5,26,,0,75,,75,66,,83,107.22,58,2021/08/09 00:00:00+00,,0,0.12,17.18,37,85,86,,100,0,0,0,0,75,397,0,85,274,0,26,332,0,0,0,0,0,0,0,0,0,0,100,2023/07/06 00:00:00+00,6.71,0,7.99,,146,2022/05/16 00:00:00+00,2023,1540,262,N,Non-NHS,,3,4,N,0,2,55,65,16.5,9,8,0,C,24,,N,N,N,PG,8,N,PG,8,N,FN-2-8(23)21-26,100,,MS,2010,1991,1991,1977,,,,,STPN-002-8(34)--2J-26,FN-2-8(23)--21-26,STPN-002-8(34)--2J-26,FN-2-8(11)--21-26,,,,,,,,,,,,,HMA,AAC,HMA,PCC,,,,,2,4.5,1.5,8,,,,,,,HMA,,,,,,,2,,,,,,,0,0,1.5,0,,,,,0,0,0,0,,,,,0.5,0,0.5,0,,,,,,DOUDS MINE,,DOUDS MINE,,,,,,,,,,,,,SCR,,MIL,,,,,,,C.LST.,,C.LST.,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,07c00f5c-66de-4e41-9620-18cc30743782,0,,0,0,0,0,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=199.32542,2,100,1726.890946
146,00231204 79210 4126,2023,S001930002E,200.13897,205.76212,3,2,1,204 79,210 41,3,From WCL Pulaski East To Davis/Van Buren Co Line,1977,2010,5.62,11.25,5,26,6265,6265,73,,77,64,,80,110.7,56,2021/08/09 00:00:00+00,0.1,0.0025,0.11,20.07,34,50,79,,100,0,0,20,0,211,214,1,552,490,1,87,435,0,0,0,0,0,0,0,0,0,0,100,2023/07/06 00:00:00+00,3.51,0,5.59,,148,2022/05/16 00:00:00+00,2023,1504,263,N,Non-NHS,,3,4,N,0,2,55,65,14.5,7,8,0,C,25,,Y,Y,N,PG,8,N,PG,8,N,FN-2-8(23)21-26,80,,MS,2010,1993,1977,,,,,,STPN-002-8(34)--2J-26,STPN-2-8(24)--2J-26,FN-2-8(11)--21-26,,,,,,,,,,,,,,HMA,AAC,PCC,,,,,,2,5,8,,,,,,,,,,,,,,,2,,,,,,,0,0,0,,,,,,0,0,0,,,,,,0.5,0,0,,,,,,,DOUDS MINE,DOUDS MINE,,,,,,,,,,,,,,SCR,,,,,,,,,C.LST.,C.LST.,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,10e873de-328b-4b2c-a11f-408ca31da408,0,,0,0,0,0,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=200.14214,3,100,11923.92123
147,00231210 41213 3489,2023,S001930002E,205.76212,207.26299,3,2,1,210 41,213 34,3,From Davis/Van Buren Co Line East To ECL Milton,1968,1993,1.5,3,5,89,5092,5092,70,,68,71,,71,95.44,57,2020/08/25 00:00:00+00,,0,0.15,29.07,10,12,56,,100,0,0,0,0,252,347,0,911,964,0,185,873,0,0,0,0,0,0,0,0,0,0,99,2023/07/06 00:00:00+00,7.05,0,8.26,,154,2019/06/18 00:00:00+00,2023,1400,263,N,Non-NHS,,3,4,N,0,2,55,65,14.5,6,9,0,C,24,,N,N,N,PG,8,N,PG,8,N,,,,AC,1993,1993,1968,,,,,,STPN-002-8(34)--2J-26,DEFAULT-1169,DEFAULT-1025,,,,,,,,,,,,,,HMA,AAC,PCC,,,,,,1.5,3,9,,,,,,HMA,,,,,,,,,,,,,,,,1.5,0,0,,,,,,0,0,0,,,,,,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,SCR,,,,,,,,,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,471465a1-0c1c-4800-b6f6-a4633cc1328c,0,,0,0,0,0,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=205.76396,6,100,3181.599035
148,00231213 34218 5889,2023,S001930002E,207.26299,212.49272,3,2,1,213 34,218 58,3,From ECL Milton East To 1.29 Mi E Of JCT IA 2/Co Rd V64,1970,1993,5.23,10.46,5,89,5092,5092,76,,79,69,,81,101.36,57,2021/08/09 00:00:00+00,,0,0.1,18.95,25,81,78,,100,0,0,13,0,245,237,0,226,163,0,54,502,0,0,0,0,0,0,0,0,0,0,100,2023/07/06 00:00:00+00,6.65,0,7.84,,146,2022/05/16 00:00:00+00,2023,1290,262,N,Non-NHS,,3,4,N,0,2,55,65,13,5,9,0,C,24,,N,N,N,PG,8,N,PG,8,N,FN-2-8(23)21-26,100,,MS,1993,1993,1970,,,,,,STPN-002-8(34)--2J-26,STPN-2-8(24)--2J-26,F-2-9(5)--20-89,,,,,,,,,,,,,,HMA,AAC,PCC,,,,,,1.5,1.5,9,,,,,,HMA,,,,,,,,I,,,,,,,,1.5,0,0,,,,,,0,0,0,,,,,,0.5,0,0,,,,,,DOUDS MINE,,FARMINGTON-COM.,,,,,,,,VAR LOC 91 AC,,,,,,SCR,,,,,,,,C.LST.,,C.LST.,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,741e5ece-8cb8-4734-9b83-e44832a63360,0,,0,0,0,0,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=207.25785,3,100,11088.72827
149,00231218 58219 8889,2023,S001930002E,212.49272,213.79237,3,2,1,218 58,219 88,3,1.29 Mi E Of JCT IA 2/V64 East To 2.59 Mi E Of IA 2/V64,1970,1991,1.3,2.6,5,89,,0,58,,72,49,,59,144.7,58,2021/08/09 00:00:00+00,0.1,0.0005,0.13,40.52,10,51,19,,88,0,489,1895,1,232,375,0,476,592,0,294,1707,0,0,0,0,0,0,0,563,55,8,95,2023/07/06 00:00:00+00,2.84,0.02,4.81,,126,2022/05/16 00:00:00+00,2023,1150,262,N,Non-NHS,,3,4,N,0,2,55,65,12,3,9,0,C,24,,N,N,N,G,8,N,G,8,N,FN-2-8(23)21-26,100,,MS,1991,1970,,,,,,,FN-2-8(23)--21-26,F-2-9(5)--20-89,,,,,,,,,,,,,,,AAC,PCC,,,,,,,3,9,,,,,,,,,,,,,,,,I,,,,,,,0,0,,,,,,,0,0,,,,,,,0,0,,,,,,,DOUDS MINE,FARMINGTON-COM.,,,,,,,,,,,,,,,,,,,,,,,C.LST.,C.LST.,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,7cc83c60-8a5c-461d-9416-b481b0068e48,0,,480,369.1,33,25.4,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=212.49351,15,100,2760.517775
150,00231219 88225 2289,2023,S001930002E,213.79237,219.13095,3,2,1,219 88,225 22,3,From 2.59 Mi E Of JCT IA 2/V64 East To JCT IA 2/IA 1,1970,1993,5.34,10.6,5,89,,0,65,,70,58,,68,124.52,46,2022/06/29 00:00:00+00,0.2,0.0045,0.14,31.88,11,57,66,,100,0,0,0,0,89,584,4,362,598,12,60,786,0,0,0,2,0,0,0,43,25,1,99,2023/07/06 00:00:00+00,4.76,0,6.06,,176,2019/06/18 00:00:00+00,2023,1125,210,N,Non-NHS,,3,4,N,2,2,55,65,10.5,2,9,0,C,24,,N,Y,N,G,8,N,G,8,N,FN-2-8(23)21-26,100,,MS,1993,1970,,,,,,,STPN-2-8(24)--2J-26,F-2-9(5)--20-89,,,,,,,,,,,,,,,AAC,PCC,,,,,,,1.5,9,,,,,,,,,,,,,,,,I,,,,,,,0,0,,,,,,,0,0,,,,,,,0,0,,,,,,,DOUDS MINE,FARMINGTON-COM.,,,,,,,,VAR LOC AC,,,,,,,,,,,,,,,C.LST.,C.LST.,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,82bce597-a45a-4201-992a-eb348958d659,0,,835,156.4,59,11.1,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=213.79341,5,100,11314.50668
151,00231225 22232 9089,2023,S001930002E,219.13095,226.80114,3,2,1,225 22,232 90,3,From JCT IA 2/IA 1 East To JCT IA 2/Co W40,1930,1992,7.67,15.2,5,89,,0,66,,41,69,,75,100.51,49,2022/06/29 00:00:00+00,0.2,0.0025,0.28,24.59,17,59,89,,100,0,0,17,0,109,508,0,284,663,0,27,240,0,0,0,0,0,0,1,440,246,4,100,2023/07/06 00:00:00+00,3.59,0,5.53,,166,2022/05/17 00:00:00+00,2023,1165,192,N,Non-NHS,,3,4,N,2,2,55,65,12.5,6,7,0,C,24,,N,Y,Y,G,8,Y,G,8,Y,FN-2-9(12)21-89,88,,MS,1992,1974,1930,,,,,,FN-2-9(14)--21-89,FN-2-9(20)--21-89,FA-222ABCD,,,,,,,,,,,,,,AAC,AAC,PC7,,,,,,1.5,1,7,,,,,,BAC,,,,,,,,,,2,,,,,,3,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,HAWKEYE,FARMINGTON-COM.,DOUDS MINE,,,,,,,,,,,,,,,,,,,,,,C.LST.,C.LST.,C.LST.,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,036a6167-fbf7-48c8-b840-93f443158c7a,1,,422,55,21,2.7,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=219.131,2,100,16255.85271
152,00231232 90239 5689,2023,S001930002E,226.80114,233.45864,3,2,1,232 90,239 56,3,From JCT IA 2/Co W40 South & East To Van Buren/Lee Co Lin,1930,2021,6.66,13.37,5,89,2507,2507,76,,73,61,,92,117.28,39,2022/06/29 00:00:00+00,0.1,0.002,0.13,7.7,78,91,97,,100,0,0,0,0,6,164,0,0,248,0,3,87,0,0,0,0,0,0,0,0,0,0,97,2023/07/06 00:00:00+00,3.14,0,7.86,,182,2023/04/19 00:00:00+00,2023,1339,190,N,Non-NHS,,3,4,N,0,2,55,65,12,5,7,0,C,25,,Y,Y,Y,PG,8,Y,PG,8,Y,STP-2-9(16)--2C-89,36,,MS,2021,2003,2003,1981,1930,,,,STP-002-9(43)--2C-89,STP-2-9(16)--2C-89,STP-2-9(16)--2C-89,FR-2-9(22)--2G-89,FA-222ABCD,,,,S,,W,,,,,,,AAC,AAC,BAC,PC7,,,,0,1.5,1.5,1.5,7,,,,,AAC,AAC,,,,,,,,,,,,,,0,2,2,0,0,,,,0,0,7,0,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC,,,,,,2024/04/18 18:55:47.120+00,-05:00,2d68f82d-dce4-47bf-81e0-c2ac930cf568,0,,164,24.6,19,2.9,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=226.8023,1,100,14124.92773
153,00231239 56248 2956,2023,S001930002E,233.45864,242.17897,3,2,1,239 56,248 29,3,From Van Buren/Lee Co Line East To WCL Donnellson,1930,2021,8.72,17.44,5,56,2040,2040,77,,78,63,,90,113,47,2022/06/29 00:00:00+00,0,0,0.11,10.48,66,92,91,,100,0,0,4,0,9,260,0,4,196,0,0,237,0,0,0,0,0,0,0,0,0,0,99,2023/07/06 00:00:00+00,2.93,0,6.53,,158,2023/04/19 00:00:00+00,2023,1585,188,N,Non-NHS,,3,4,N,0,2,55,65,15,8,7,0,C,24,,N,N,N,P,3,N,P,3,N,STP-2-9(16)--2C-89,36,,MS,2021,2003,2003,1981,1957,1930,,,STP-002-9(43)--2C-89,STP-2-9(16)--2C-89,STP-2-9(16)--2C-89,FR-2-1(22)--2G-89,F-1093(1),P-467A,,,S,,W,,,,,,,AAC,AAC,BAC,AAC,PC7,,,0,1.5,1.5,1.5,1.5,7,,,,AAC,AAC,,AAC,,,,,,,,,,,,0,2,2,0,1.5,0,,,0,0,7,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,OTHER AGG.,,,,,,,,,,,,,,,,,,,,,BAC,,,,,,2024/04/18 18:55:47.120+00,-05:00,8deeb399-ef56-4dea-8220-2a4cf52e4fe0,0,,0,0,0,0,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=233.46195,2,100,18479.22114
154,00231248 29248 7756,2023,S001930002E,242.17897,242.65897,3,2,1,248 29,248 77,1,From WCL Donnellson East To ECL Donnellson,1978,,0.48,0.96,5,56,2040,2040,27,,,5,0,62,242.73,43,2016/08/02 00:00:00+00,0.2,0.139,0.11,38.3,90,,,59,,0,0,0,0,3,19,53,0,98,0,28,291,0,0,0,2,4,0,12,112,158,8,100,2023/07/06 00:00:00+00,3.37,0,4.4,77,142,2022/05/17 00:00:00+00,2023,2150,188,N,Non-NHS,,3,4,N,0,2,35,74,8,0,8,0,C,29,,Y,Y,N,G,0,N,G,0,N,STP-,,,PC,1978,,,,,,,,DEFAULT-1172,,,,,,,,,,,,,,,,PCC,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,39609598-a770-4810-b895-8a69ca9ac3fc,0,,152,316.2,43,89.4,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=242.1746,1,70,1016.672427
155,00231248 77254 1856,2023,S001930002E,242.65897,248.06743,3,2,1,248 77,254 18,1,From ECL Donnellson East To 2 Mi W of JCT IA 2/Co Rd X23,1979,,5.41,11.44,5,56,2040,2040,87,,,82,77,96,71.66,48,2021/08/10 00:00:00+00,0.1,0.028,0.08,4.14,100,,,96,,0,0,0,0,0,0,8,1,5,2,6,21,0,0,0,0,0,0,3,89,760,11,100,2023/07/20 00:00:00+00,2.97,0,3.76,96,97,2023/04/19 00:00:00+00,2023,3004,309,Y,NHS,,3,3,N,0,2,55,74,8,0,8,0,C,25,,N,N,N,PG,10,N,PG,10,N,F-2-9(11)20-56,100,,PC,1979,,,,,,,,F-2-9(11)--20-56,,,,,,,,,,,,,,,,PCC,,,,,,,,8,,,,,,,,,,,,,,,,I,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,FARMINGTON-COM.,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,caf104e5-b5d1-4305-8601-b4fbfccd6fdc,1,,36,6.7,5,0.9,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=242.65564,0,87,11457.60169
156,00231254 18257 5756,2023,S001930002E,248.06743,251.45289,3,2,1,254 18,257 57,1,From 2 Mi W Of JCT IA 2/Co Rd X23 East To W JCT IA 2/US 61,1979,,3.39,8.59,5,56,,0,78,,,71,71,89,95.58,47,2021/08/10 00:00:00+00,0.1,0.0345,0.09,10.76,74,,,96,,0,0,0,3,3,53,0,10,3,2,6,20,0,0,0,0,1,0,18,98,98,6,94,2023/07/20 00:00:00+00,2.41,0,4,85,95,2022/05/17 00:00:00+00,2023,6028,442,Y,NHS,817,3,3,N,0,3,55,74,8,0,8,0,C,30,,N,N,N,PG,10,N,PG,10,Y,F-2-9(11)20-56,100,,PC,1979,,,,,,,,FN-2-9(17)--21-56,,,,,,,,,,,,,,,,PCC,,,,,,,,8,,,,,,,,,,,,,,,,I,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,FARMINGTON-COM.,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,80c9cfff-d06f-4ff9-b3b5-f91619068b1f,0,,319,94.3,23,6.8,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=248.06645,2,95,7172.117511
157,00231257 57257 9556,2023,S001930002E,251.45289,251.62945,3,2,1,257 57,257 95,1,From to W JCT US 61/IA 2,2000,,0.18,0.54,5,56,,0,61,,,33,48,96,181.11,47,2021/08/10 00:00:00+00,0.1,0.0625,0.1,3.61,99,,,100,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,96,2023/07/20 00:00:00+00,5.99,0,9.95,,173,2022/05/17 00:00:00+00,2023,7800,476,N,Non-NHS,817,3,4,N,0,3,50,74,9.5,0,10,11,C,37,,N,Y,N,PG,10,N,PG,10,N,NHS-61-1(103)--3H-56,95,N,PC,2000,,,,,,,,NHS-61-1(103)--3H-56,,,,,,,,,,,,,,,,PCC,,,,,,,,9.5,,,,,,,,GSB,,,,,,,,I,,,,,,,,11,,,,,,,,0,,,,,,,,0,,,,,,,,HUNTINGTON- MO.,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,15a812e4-138e-45c5-ab3c-9446a49785f4,0,,5,29.5,1,5.9,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002E&logpoint=251.44976,0,100,374.0736037
158,00232000 00000 8036,2023,S001930002W,251.01078,251.64198,3,2,2,000 00,000 80,1,From Nebraska/Iowa State Line NE To 0.8 NE of Nebraska sta,2019,,0.63,1.38,4,36,,0,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,4250,1929,Y,NHS,,2,3,Y,76,2,55,74,10,0,10,12,B,,,Y,Y,N,P,8,N,PG,10,,,,,PC,2019,,,,,,,,NHSN-002-1(122)--2R-36,,,,,,,,O,,,,,,,,PCC,,,,,,,,10,,,,,,,,MSB,,,,,,,,4,,,,,,,,12,,,,,,,,0,,,,,,,,0,,,,,,,,CRESCENT_A78002,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,76542cbc-1fea-48ba-abad-7aa5084a96b8,,,,,,,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002W&logpoint=251.23454,0,,1341.2297
159,00232000 80002 3036,2023,S001930002W,249.5167,251.01078,3,2,2,000 80,002 30,1,From 0.8mi NE of Nebraska state line to Horse Creek,2020,,1.49,2.99,4,36,,0,86,,,78,74,100,79.94,43,2023/08/09 00:00:00+00,0.1,0.031,0.09,0,100,,,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2023/04/29 00:00:00+00,,,,,,,2023,4175,1929,Y,NHS,,2,3,Y,98,2,55,79,10,0,10,12,B,24,,N,N,N,P,6,N,PG,10,,,,,PC,2020,,,,,,,,ER-002-1(130)--28-36,,,,,,,,O,,,,,,,,PCC,,,,,,,,10,,,,,,,,MSB,,,,,,,,5,,,,,,,,12,,,,,,,,0,,,,,,,,0,,,,,,,,CRESCENT_A78002,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,190d17ef-cc49-47da-945a-109aad2a3dd5,0,,0,0,0,0,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930002W&logpoint=249.52889,0,,3171.485267
