ORIGKEY,OBJECTID,CRACK_INDX,FAULT_INDX,IRI_INDX,STRUCT_NEED80,AADT,CONYR,RESYR
00231147 95149 5493,115,100,0,96,0,3050,1963,2020
00231149 54151 4893,116,100,0,98,0,2590,1929,2020
00231151 48154 6093,117,99,0,93,0,2200,1963,2020
00231154 60159 2693,118,99,0,95,0,2046,1929,2020
00231159 26170 2104,119,90,0,93,0,2818,1972,2014
00331106 31106 6476,120,100,0,85,0,3130,1948,2023
00331106 64107 4276,121,68,12,11,0,2560,1969,1969
00331107 42118 3176,122,72,0,97,0,2095,1937,2014
00331118 31128 8046,123,41,0,59,0,2493,1939,2000
00331128 80129 3046,124,75,0,55,0,5285,1939,2000
00331129 30130 2846,125,69,49,55,0,5280,1956,1956
00331130 28131 5246,126,85,0,90,0,3640,1956,2015
00331131 52142 3046,127,86,0,92,0,2393,1937,2015
00331142 30144 3199,128,88,0,90,0,3495,1984,2015
00331144 31145 0299,129,87,0,91,0,3855,1984,2015
00331145 02145 4399,130,88,0,82,0,2923,1932,2015
00331145 43152 4699,131,93,0,92,0,2710,1927,2015
00331152 46153 0399,132,85,0,94,0,2900,1987,2015
00331153 03154 3499,133,87,0,85,0,3748,1932,2015
00331154 34154 6599,134,86,0,56,0,5127,1932,2015
00331154 65155 3299,135,74,0,50,0,5850,1932,1997
00331155 32159 3199,136,87,0,74,0,3733,1927,1997
00331161 06167 2099,137,46,0,54,0,1717,1933,1988
00331167 20171 7135,138,57,0,45,0,1720,1930,1987
00231184 26188 1726,139,39,0,54,0,1800,1931,2008
00231188 17190 6226,140,48,0,60,0,1800,1931,2008
00231190 62191 4926,141,76,0,58,0,1800,1999,1999
00231196 44200 0326,142,73,0,68,0,1987,1977,2010
00231200 03201 0326,143,81,0,65,0,1540,1977,2010
00231201 03203 9726,144,84,0,67,0,1540,1977,2010
00231203 97204 7926,145,83,0,66,0,1540,1977,2010
00231204 79210 4126,146,80,0,64,0,1504,1977,2010
00231210 41213 3489,147,71,0,71,0,1400,1968,1993
00231213 34218 5889,148,81,0,69,0,1290,1970,1993
00231218 58219 8889,149,59,0,49,0,1150,1970,1991
00231219 88225 2289,150,68,0,58,0,1125,1970,1993
00231225 22232 9089,151,75,0,69,0,1165,1930,1992
00231232 90239 5689,152,92,0,61,0,1339,1930,2021
00231239 56248 2956,153,90,0,63,0,1585,1930,2021
00231248 29248 7756,154,62,0,5,0,2150,1978,1978
00231248 77254 1856,155,96,77,82,0,3004,1979,1979
00231254 18257 5756,156,89,71,71,0,6028,1979,1979
00231257 57257 9556,157,96,48,33,0,7800,2000,2000
00232000 00000 8036,158,0,0,0,0,4250,2019,2019
00232000 80002 3036,159,100,74,78,0,4175,2020,2020
00232002 30003 5936,160,76,0,59,0,2610,1987,2014
00331000 00001 5475,161,56,14,34,0,1190,1963,1963
00331001 54006 2775,162,87,0,52,0,2237,1954,2004
00331006 27006 6975,163,67,0,62,0,1930,1945,2013
00331006 69017 4775,164,75,0,66,0,1532,1967,2013
00331017 47026 2175,165,85,0,77,0,3635,1954,2016
00331026 21026 8775,166,84,0,60,0,5300,1954,2012
00331026 87027 4675,167,78,0,60,2.27,5300,2012,2012
00331027 46027 8775,168,74,0,0,0,7000,1956,1997
00331027 87028 2575,169,76,0,0,0,8900,1928,1974
00331028 25029 2275,170,82,0,49,0,6552,1948,1960
00331029 22037 8275,171,100,100,69,0,3770,1995,2022
00331037 82039 0975,172,56,0,40,0,3564,1995,1995
00331039 09044 1275,173,100,100,71,0,2610,1999,2022
00331044 12051 8218,174,68,63,69,0,2892,1937,2015
00331051 82054 8018,175,85,0,90,0,2760,1937,2014
00331054 80060 5418,176,84,0,89,0,3115,1937,2014
00331060 54063 2618,177,69,0,74,0,2712,1962,2011
00331063 26066 6018,178,63,0,82,0,2640,1937,2012
00331066 60069 6018,179,76,0,88,0,1560,1958,2010
00331069 60073 5911,180,66,0,84,0,1660,1958,2009
00331073 59081 6111,181,51,0,75,0,1560,1958,2009
00331081 61091 6711,182,88,0,82,0,1810,1952,2013
00331091 67093 6711,183,54,0,72,0,1720,1956,1991
00331093 67105 9776,184,62,0,75,0,1720,1956,1991
00331105 97106 3176,185,82,0,62,0,2630,1956,1991
00431021 61022 8437,186,92,78,61,0,4920,1986,1986
00431022 84023 2637,187,85,76,53,0,6300,2012,2012
00431023 26023 8837,188,92,0,80,0,5210,1966,2018
00431023 88025 7437,189,35,73,37,0,3018,1979,1979
00431025 74036 8137,190,72,0,67,0,1754,1940,2006
00431036 81040 8737,191,75,0,72,0,660,1952,2006
00431040 87044 8513,192,79,0,64,0,420,1952,2006
00431044 85047 8013,193,100,0,94,0,1180,1939,2021
00431047 80048 6113,194,90,0,89,0,1440,1939,2021
00431048 61049 7613,195,44,0,35,0,1375,1938,1994
00331171 71172 6935,196,83,0,87,0,2254,1970,2013
00331172 69178 6935,197,100,0,83,0,2863,1930,2023
00331178 69180 5035,198,55,40,59,1.77,3090,1970,1994
00331180 50181 2835,199,36,0,67,0,3260,1930,1987
00331181 28181 6735,200,27,0,21,0,3700,1930,2007
00331181 67182 6935,201,39,0,36,0,4344,1958,2007
00331182 69183 4835,202,100,0,77,0,1830,1930,2023
00331183 48184 4735,203,100,0,83,0,1720,1930,2023
00331184 47184 9835,204,100,0,82,0,1720,1997,2023
00331184 98186 1035,205,100,0,82,0,1720,1997,2023
00331186 10186 7635,206,100,0,82,0,1720,1997,2023
00331186 76189 7035,207,100,0,83,0,1540,1930,2023
00331189 70190 8235,208,100,0,83,0,1450,1976,2023
00331190 82191 8135,209,100,0,83,0,1450,1930,2023
00331191 81202 7712,210,60,0,59,0,1503,1928,2004
00331202 77210 5912,211,95,0,99,0,2609,1968,2020
00331210 59216 6312,212,99,0,95,0,4652,1968,2019
00331216 63220 1809,213,98,0,93,0,5879,1968,2019
00331220 12221 9009,214,99,69,65,0,6789,2017,2017
00331221 79224 1609,215,78,63,56,0,4392,1996,1996
00331224 16228 4109,216,100,0,82,0,3905,1997,2023
00331228 41241 4209,217,97,0,92,0,2458,1930,2017
00331241 42249 8433,218,92,69,79,0,1760,1930,2013
00331249 84249 9533,219,77,0,38,0,1760,1928,2013
00331249 95251 5633,220,88,0,78,0,1888,1928,2015
00331251 56252 1733,221,58,30,24,0,3470,1957,1957
00331252 17253 1033,222,35,0,0,0,3444,1966,1966
00331253 10253 5033,223,49,0,44,0,2867,1929,1998
00331253 50254 1133,224,46,0,73,0,2820,1929,1998
00331254 11254 4233,225,60,0,80,0,2820,1929,1998
00331254 42255 3833,226,53,0,58,0,2820,1929,1998
00331255 38266 1133,227,53,0,61,0,2018,1929,1998
00331266 11266 9033,228,74,0,60,0,1344,1961,1998
00331266 90267 9433,229,59,0,67,0,2130,1929,1998
00331267 94268 4433,230,57,0,55,0,2130,1929,1998
00331268 44269 4322,231,41,0,52,0,2130,1928,1998
00331269 43269 7722,232,79,0,75,0,2130,1928,1998
00331269 77271 3022,233,47,0,52,0,2555,1928,1998
00331271 30272 1522,234,28,0,14,5.73,3425,1929,1998
00331272 15272 8722,235,87,63,56,0,3260,2013,2013
00331272 87277 8822,236,91,0,76,0,2708,1936,2007
00331277 88279 3028,237,86,0,63,0,2110,1936,2006
00331279 30280 7528,238,95,0,77,0,2405,1936,2006
00331280 75281 6328,239,70,0,63,0,3006,1935,2006
00331281 63284 4828,240,93,0,68,0,2213,1940,2006
00331284 48292 1028,241,75,0,59,0,990,1948,2009
00331292 10297 6328,242,82,0,55,0,798,1942,2004
00331297 63300 7731,243,57,0,76,0,665,1940,2009
00331300 68300 7731,244,95,0,83,2.31,1770,1940,2021
00331300 77300 8531,245,95,0,80,0,1770,1927,2021
00331300 85305 1831,246,100,75,77,0,1760,2020,2020
00331305 18309 8331,247,100,71,77,0,1750,2019,2019
00331310 10315 0431,248,100,100,69,0,1760,2023,2023
00331315 04315 5131,249,63,0,36,0,1710,1927,2001
00331315 51316 2331,250,70,0,62,0,1710,1927,2001
00331316 23317 9231,251,64,0,64,0,1717,1927,2011
00331317 92321 0231,252,64,0,61,0,1720,1927,2011
00331321 02321 9031,253,74,0,60,0,2588,1976,2011
00331321 90323 4231,254,88,0,82,0,5200,1976,2017
00332006 69017 4775,255,92,0,71,0,935,1967,2013
00431000 00010 2239,256,87,0,88,0,2476,1958,2016
00431010 22010 7139,257,78,0,83,0,1830,1957,2011
00431010 71011 8239,258,75,0,69,0,2020,1957,2012
00431011 82016 8037,259,74,0,78,0,1785,1957,2012
00431016 80021 1137,260,87,0,85,0,2133,1954,2012
00431021 11021 6137,261,89,85,72,0,2180,1986,1986
00531035 36036 2268,262,14,0,57,0,4283,1938,1993
00531036 22044 0868,263,27,0,75,0,3853,1930,1993
00531044 08045 0968,264,32,0,75,0,3748,1931,1993
00531045 09046 2868,265,46,0,76,0,3670,1931,1984
00531046 28060 2663,266,47,0,67,0,3621,1930,2007
00531060 26065 1963,267,89,75,65,0,2730,2007,2007
00531065 19070 7263,268,91,75,57,0,4300,2000,2000
00531070 72076 0763,269,90,74,56,0,3598,2003,2003
00531076 07078 1063,270,76,0,74,0,4500,2003,2005
00531078 10078 8863,271,59,73,58,0,4533,2003,2003
00531078 88085 2491,272,84,80,59,0,4766,2003,2003
00531085 24088 0991,273,70,76,74,0,5416,1999,1999
00531088 09090 3391,274,60,68,59,0,7000,1998,1998
00531090 33090 6377,275,96,73,60,0,9260,1997,1997
00531093 12097 6691,276,81,73,66,0,11856,2000,2000
00531097 66099 1777,277,84,72,63,0,12985,2000,2000
00531099 17103 9777,278,78,75,71,0,13894,2002,2002
00532060 26065 1963,279,87,75,72,0,3125,2007,2007
00532065 19067 0463,280,61,0,68,0,4300,1966,2003
00532067 04069 7063,281,44,0,63,0,4300,1931,2003
00431049 76053 7013,282,43,0,46,0,1430,1938,1994
00431053 70054 3413,283,65,0,60,0,1150,1938,1995
00431054 34061 4813,284,57,0,67,0,870,1938,1995
00431061 48062 7813,285,66,69,62,0,1103,1991,1991
00431062 78063 6613,286,31,0,59,0,1570,1938,1993
00431063 66072 0513,287,73,0,77,0,2083,1947,2013
00431072 05073 9213,288,72,0,78,0,2270,1937,2013
00431073 92074 3613,289,69,0,52,0,2598,1937,2014
00431074 36074 8513,290,75,0,80,0,3020,1937,2014
00431074 85077 1276,291,71,0,82,0,3020,1937,2014
00431077 12086 5676,292,49,0,47,0,2857,1940,1992
00431086 56086 8776,293,42,22,12,0,2810,1975,1975
00431086 87087 3576,294,61,0,59,0,3350,1933,1995
00431087 35090 7876,295,60,0,60,0,3380,1934,1995
00431090 78094 8976,296,65,0,50,0,2595,1936,1995
00431094 89099 0476,297,74,0,30,0,2247,1935,1995
00431099 04101 0474,298,62,0,40,0,2305,1935,1995
00431101 04112 0774,299,79,10,45,0,2443,1967,1967
00431112 07113 1374,300,50,0,21,0,3842,1956,2011
00431117 85126 7774,301,47,0,65,0,1855,1940,2000
00431126 77129 3632,302,59,0,70,0,1800,1936,2000
00431129 36131 1032,303,59,0,71,0,1897,1936,2000
00431131 10131 6232,304,73,0,67,0,2187,1932,2000
00431131 62132 1432,305,60,0,51,0,2380,1933,1992
00431132 14136 5132,306,53,0,58,0,2396,1933,1992
00431136 51137 3432,307,100,100,69,0,2800,2023,2023
00431137 34137 8532,308,98,78,73,0,3040,2009,2009
00431137 88138 2232,309,100,100,69,0,2440,2023,2023
00431138 22138 3832,310,56,0,0,0,1925,1936,2006
00431138 38138 8632,311,53,0,0,0,1573,1936,2006
00431138 86139 3832,312,49,0,24,0,1460,1937,1958
00431139 38146 1232,313,53,0,32,0,977,1937,1958
00531000 00003 9304,314,98,0,90,0,1677,1952,2018
00531003 93004 6904,315,85,0,84,0,1960,1982,2018
00531004 69005 2104,316,70,0,81,0,2120,1949,2016
00531005 21005 6504,317,88,0,84,0,2120,1949,2016
00531005 65010 9004,318,90,0,85,0,2500,1949,2016
00531010 90012 3404,319,92,0,87,0,6190,1949,2020
00531012 34013 6404,320,84,0,77,0,8533,1952,2020
00531013 64014 2904,321,93,0,71,0,8633,1956,2020
00531014 29014 5904,322,96,0,82,0,7900,1957,2021
00531014 59015 9104,323,99,0,91,0,5730,1957,2021
00531015 91018 4504,324,100,0,94,0,4035,1975,2021
00531018 45025 7404,325,100,0,98,0,3780,1975,2021
00531025 74034 1168,326,99,0,96,0,5647,1975,2021
00531034 11034 2368,327,93,0,33,0,7700,1975,2000
00531034 23034 8668,328,78,57,43,0,8400,1995,1995
00531034 86035 3668,329,94,0,60,0,6250,1939,2022
00621167 81168 2150,330,76,0,58,0,7000,1938,2017
00621168 32169 2350,331,74,0,45,0,7850,1927,2011
00621169 23170 2850,332,84,0,52,0,9050,1926,2019
00621170 28170 6050,333,76,63,26,0,6887,1977,1977
00621170 60171 9250,334,93,0,56,0,3398,1927,1950
00621171 92176 4650,335,86,0,65,0,2445,1927,2008
00621176 46184 5650,336,80,0,56,0,2492,1928,2008
00621184 56186 4779,337,85,0,51,0,3327,1928,2008
00621186 47187 0279,338,81,0,39,0,5548,1956,2017
00621187 02187 7579,339,70,0,0,0,4793,1956,1956
00532069 70070 7263,340,96,80,66,0,4300,2000,2000
00532070 72077 0063,341,91,76,56,0,3652,2002,2002
00532077 00078 8863,342,87,80,62,0,4525,2003,2003
00532078 88082 1091,343,75,87,60,0,4400,2003,2003
00532082 10084 5091,344,79,75,50,0,4790,2003,2003
00532084 50085 0591,345,97,80,63,0,5250,2003,2003
00532085 05088 0291,346,90,77,69,0,5583,1998,1998
00532088 02090 3391,347,66,73,60,0,6972,1998,1998
00532090 33090 6377,348,96,74,60,0,8463,1997,1997
00532093 12097 6691,349,89,73,63,0,11365,2000,2000
00532097 66099 1777,350,57,74,67,0,12783,2000,2000
00532099 17103 9777,351,95,73,72,0,13440,2002,2002
00621002 27003 1778,352,98,64,61,0,7205,2018,2018
00621007 27007 8778,353,91,79,77,0,3350,2018,2018
00621007 87008 3378,354,88,0,86,0,6667,1968,2012
00621008 33013 2478,355,85,0,80,0,5395,1969,2012
00621013 24027 4278,356,82,0,75,0,3668,1930,2012
00621027 42028 2678,357,87,0,90,0,4648,1930,2013
00621028 26029 5778,358,61,68,57,0,4888,1994,1994
00621029 57041 8978,359,96,0,82,0,2137,1930,2019
00621041 89042 7515,360,98,0,81,0,1425,1930,2019
00621042 75050 4415,361,55,0,71,0,2173,1930,2021
00621050 44052 2515,362,48,0,73,0,2905,1930,2021
00621052 25053 6915,363,70,55,56,0,6323,1994,1994
00621053 69053 9915,364,100,53,50,0,10100,2015,2015
00621053 99054 4815,365,89,0,64,0,8650,2015,2017
00621054 48054 6715,366,88,0,60,0,6200,1970,2017
00621054 67056 6815,367,89,0,78,0,3837,1979,2017
00621054 76055 2515,368,89,0,64,0,4910,1979,2017
00621056 68057 3015,369,90,0,88,0,2270,1931,2017
00621057 30057 9015,370,86,0,81,0,2270,1931,2017
00621057 90063 2315,371,90,0,87,0,1823,1931,2017
00621108 97114 0025,372,40,0,42,0,6767,1951,1987
00621114 36115 0125,373,75,0,70,0,8533,2000,2009
00621115 01121 2725,374,100,0,93,0,5200,2000,2020
00621121 27123 3825,375,88,67,63,0,7912,1999,1999
00621123 38125 3925,376,90,64,67,0,14640,1999,1999
00621125 39126 0177,377,100,63,71,0,15816,1998,1998
00621126 01126 4177,378,98,62,53,0,15650,1998,1998
00621126 41127 7777,379,69,63,62,0,16675,2021,2021
00621127 27130 8577,380,84,0,61,0,11850,1971,2017
00621130 85130 9077,381,82,0,66,0,19800,1950,2017
00621130 90131 2377,382,78,0,4,0,10050,1950,2017
00621131 23131 4677,383,82,0,46,0,10675,1950,2017
00621131 46132 4577,384,94,0,63,0,21700,1934,2021
00621132 45133 6977,385,97,0,63,0,20050,1950,2021
00621133 69134 1077,386,98,0,68,0,19300,1950,2021
00621134 10134 8077,387,98,0,67,0,21233,1950,2021
00621134 80135 1677,388,95,0,70,0,11150,1934,2021
00621135 16135 7677,389,63,0,35,0,19500,1950,1985
00621135 76136 4877,390,57,0,50,0,17533,1930,2004
00621136 48136 7877,391,55,0,20,1.15,17800,1930,2001
00621136 78137 3677,392,16,0,22,3.45,17800,1930,2001
00621137 36137 5977,393,83,0,34,0,8266,1930,2016
00621137 59137 9077,394,81,0,53,0,7950,1934,2016
00621137 90138 2977,395,85,0,69,0,8700,1920,2016
00621138 29138 7577,396,79,58,55,0,9490,1998,1998
00621138 75139 4777,397,87,0,67,0,10891,1920,2016
00621139 47139 9077,398,43,23,25,0,9866,1990,1990
00621139 90140 3677,399,85,0,57,0,7300,1969,2016
00621140 36141 3877,400,88,0,55,0,14200,1956,2010
00621141 38142 1877,401,80,0,65,0,10467,1956,2003
00621142 18142 5577,402,70,0,62,0,3740,1975,2003
00621142 55143 5377,403,74,0,64,0,4266,1975,2003
00621143 53143 5877,404,45,0,47,0,4815,1975,2016
00621166 20167 1750,405,68,0,52,0,3214,1966,2005
00621167 17167 5250,406,49,42,1,0,6525,1966,1966
00621167 52167 8150,407,66,0,17,0,7100,1938,2009
00621309 43309 8282,408,86,0,74,0,19960,1971,2020
00622002 45002 9878,409,100,69,69,0,980,2019,2019
00622007 36007 9078,410,97,75,70,0,3071,2018,2018
00622062 25063 5515,411,88,0,71,0,2060,1959,2017
00622115 01121 2725,412,99,0,96,0,5120,2000,2020
00622121 27123 3825,413,88,71,66,0,7912,1999,1999
00622123 38125 3925,414,96,67,71,0,14010,1999,1999
00622125 39126 0977,415,97,58,64,0,15816,1999,1999
00622126 09126 4177,416,96,69,61,0,15650,1998,1998
00622126 41127 2777,417,66,53,48,0,16675,2021,2021
00622127 27127 6377,418,66,0,37,0,15400,1957,2017
00622127 63128 5377,419,66,0,81,0,12200,1931,2017
00622128 53130 8177,420,79,0,65,0,10100,1971,2017
00622130 85131 2377,421,78,0,68,0,10066,1971,2003
00622134 69135 2877,422,96,0,65,0,10730,1950,2021
00622137 36137 5977,423,85,0,56,0,8425,1998,2016
00622137 59138 2977,424,82,0,71,0,8950,1998,2016
00622138 29138 8877,425,78,53,52,0,9780,1998,1998
00622138 88140 1277,426,69,0,41,0,10100,1998,2016
00622140 12140 4377,427,0,0,0,0,7300,1957,1957
00621187 75193 3679,428,96,0,89,0,3597,1952,2016
00621193 36193 6779,429,90,0,69,0,3030,1952,2016
00621193 67193 8279,430,80,0,56,0,2897,1952,1988
00621193 82202 2879,431,81,0,75,0,1943,1955,2007
00621202 28208 8979,432,87,0,78,0,1510,1956,2007
00621208 89212 0648,433,96,0,92,0,1377,1956,2013
00621212 06221 1648,434,97,0,94,0,2194,1930,2013
00621221 16230 0148,435,94,0,92,0,3153,1930,2013
00621230 01231 6348,436,89,0,92,0,3580,1985,2018
00621231 63232 3548,437,88,0,89,0,3617,1987,2018
00621232 35234 1748,438,75,0,78,0,3690,1930,2011
00621234 17235 7252,439,74,0,79,0,3690,1927,2011
00621235 72240 4352,440,82,0,94,0,4495,1955,2018
00621240 43242 9052,441,50,0,82,0,8233,1927,2011
00621242 90244 4252,442,52,0,63,0,8933,1927,1991
00621244 42244 6752,443,99,71,55,0,6720,2019,2019
00621244 67244 8152,444,69,0,71,0,11400,1927,1991
00621244 81245 4052,445,42,0,47,0,10950,1927,1991
00621245 40246 4652,446,46,0,6,0,11250,1956,1956
00621246 46246 8652,447,63,53,52,0,6000,2008,2008
00621246 86247 3452,448,91,75,67,0,11800,2008,2008
00621247 34248 5552,449,75,0,68,0,24750,1951,2008
00621248 55249 2452,450,64,0,55,0,26100,1951,2006
00621249 24249 8952,451,89,0,83,0,29767,1951,2018
00621249 89250 2652,452,89,0,78,0,15530,1932,2018
00621250 26250 9652,453,86,0,78,0,22700,1958,2018
00621250 96251 8752,454,85,0,73,0,24175,1958,2018
00621251 87254 6452,455,84,0,73,0,9744,1958,2013
00621254 64255 5852,456,44,0,73,0,9840,1958,2006
00621255 58260 0852,457,88,20,37,0,4960,1958,1958
00621260 08262 3052,458,71,0,63,0,4435,1928,2010
00621262 30267 8570,459,79,0,75,0,4707,1930,2010
00621267 85268 2770,460,68,0,31,0,5084,1928,2001
00621268 27268 8270,461,58,0,26,0,4552,1940,2001
00621268 82269 2370,462,79,0,56,0,2000,1939,2001
00621269 23280 3970,463,89,0,70,0,2456,1930,2001
00621280 39282 5270,464,74,0,63,0,4640,1965,2006
00621282 52285 2716,465,74,0,52,0,2443,1959,2001
00621300 70303 6282,466,79,0,58,0,5758,1937,2009
00621303 62304 0382,467,63,0,47,0,7550,1982,2009
00621304 03305 4682,468,53,18,8,0,7950,1982,1982
00621305 46305 6582,469,53,0,0,0,10250,1982,1982
00621305 65306 4982,470,41,0,0,0,12050,1972,1972
00621306 49307 4382,471,57,0,16,0,15887,1964,1984
00621307 43307 7782,472,95,0,73,0,18050,1937,2020
00621307 77308 7682,473,88,0,67,0,16516,1937,2020
00621308 76309 4382,474,96,0,66,0,14000,1937,1964
00931088 41088 7332,475,54,0,5,0,6700,1931,2006
00931088 73089 9632,476,57,0,25,0,5007,1931,2006
00931089 96090 5632,477,64,0,49,0,2937,1931,1984
